time,pleth_1
22:49.5,65332
22:49.5,65321
22:49.5,65328
22:49.5,65331
22:49.5,65331
22:49.5,65333
22:49.5,65344
22:49.5,65337
22:49.5,65346
22:49.5,65346
22:49.5,65331
22:49.5,65344
22:49.5,65350
22:49.5,65357
22:49.5,65357
22:49.5,65347
22:49.5,65352
22:49.5,65355
22:49.5,65355
22:49.5,65356
22:49.5,65366
22:49.5,65355
22:49.5,65376
22:49.5,65376
22:49.5,65383
22:49.5,65390
22:49.5,65378
22:49.5,65383
22:49.6,65383
22:49.6,65388
22:49.6,65396
22:49.6,65392
22:49.6,65408
22:49.6,65408
22:49.6,65414
22:49.6,65404
22:49.6,65412
22:49.6,65409
22:49.6,65409
22:49.6,65426
22:49.6,65421
22:49.6,65429
22:49.6,65422
22:49.6,65422
22:49.6,65437
22:49.6,65445
22:49.6,65445
22:49.6,65444
22:49.6,65444
22:49.6,65449
22:49.6,65457
22:49.6,65454
22:49.6,65450
22:49.6,65450
22:49.6,65474
22:49.6,65464
22:49.6,65471
22:49.6,65477
22:49.6,65477
22:49.6,65473
22:49.6,65481
22:49.6,65490
22:49.6,65491
22:49.6,65491
22:49.6,65489
22:49.6,65498
22:49.6,65501
22:49.6,65501
22:49.6,65503
22:49.6,65507
22:49.6,65510
22:49.6,65511
22:49.6,65511
22:49.6,65518
22:49.6,65518
22:49.6,65521
22:49.6,65528
22:49.6,65528
22:49.7,65533
22:49.7,65539
22:49.7,65546
22:49.7,65550
22:49.7,65550
22:49.7,65551
22:49.7,65558
22:49.7,65556
22:49.7,65556
22:49.7,65556
22:49.7,65568
22:49.7,65570
22:49.7,65583
22:49.7,65570
22:49.7,65570
22:49.7,65578
22:49.7,65574
22:49.7,65588
22:49.7,65584
22:49.7,65584
22:49.7,65594
22:49.7,65590
22:49.7,65610
22:49.7,65601
22:49.7,65601
22:49.7,65616
22:49.7,65606
22:49.7,65611
22:49.7,65625
22:49.7,65625
22:49.7,65606
22:49.7,65623
22:49.7,65622
22:49.7,65622
22:49.7,65629
22:49.7,65638
22:49.7,65623
22:49.7,65617
22:49.7,65617
22:49.7,65623
22:49.7,65625
22:49.7,65623
22:49.7,65611
22:49.7,65611
22:49.7,65617
22:49.7,65611
22:49.7,65606
22:49.7,65585
22:49.7,65585
22:49.7,65591
22:49.8,65576
22:49.8,65565
22:49.8,65567
22:49.8,65567
22:49.8,65554
22:49.8,65541
22:49.8,65536
22:49.8,65512
22:49.8,65512
22:49.8,65509
22:49.8,65502
22:49.8,65480
22:49.8,65464
22:49.8,65464
22:49.8,65480
22:49.8,65463
22:49.8,65441
22:49.8,65429
22:49.8,65429
22:49.8,65421
22:49.8,65411
22:49.8,65389
22:49.8,65400
22:49.8,65400
22:49.8,65375
22:49.8,65356
22:49.8,65346
22:49.8,65349
22:49.8,65349
22:49.8,65327
22:49.8,65317
22:49.8,65296
22:49.8,65296
22:49.8,65297
22:49.8,65281
22:49.8,65271
22:49.8,65262
22:49.8,65262
22:49.8,65242
22:49.8,65227
22:49.8,65211
22:49.8,65199
22:49.8,65199
22:49.8,65189
22:49.8,65179
22:49.8,65165
22:49.8,65153
22:49.8,65153
22:49.8,65147
22:49.8,65140
22:49.9,65139
22:49.9,65130
22:49.9,65130
22:49.9,65131
22:49.9,65119
22:49.9,65115
22:49.9,65100
22:49.9,65100
22:49.9,65106
22:49.9,65093
22:49.9,65095
22:49.9,65080
22:49.9,65080
22:49.9,65092
22:49.9,65097
22:49.9,65076
22:49.9,65072
22:49.9,65072
22:49.9,65076
22:49.9,65065
22:49.9,65068
22:49.9,65077
22:49.9,65077
22:49.9,65070
22:49.9,65058
22:49.9,65073
22:49.9,65073
22:49.9,65061
22:49.9,65067
22:49.9,65061
22:49.9,65063
22:49.9,65063
22:49.9,65060
22:49.9,65055
22:49.9,65059
22:49.9,65053
22:49.9,65053
22:49.9,65047
22:49.9,65047
22:49.9,65051
22:49.9,65050
22:49.9,65050
22:49.9,65055
22:49.9,65071
22:49.9,65050
22:49.9,65058
22:49.9,65058
22:49.9,65054
22:49.9,65065
22:49.9,65069
22:50.0,65065
22:50.0,65065
22:50.0,65069
22:50.0,65081
22:50.0,65085
22:50.0,65083
22:50.0,65083
22:50.0,65097
22:50.0,65100
22:50.0,65100
22:50.0,65107
22:50.0,65107
22:50.0,65126
22:50.0,65122
22:50.0,65124
22:50.0,65142
22:50.0,65142
22:50.0,65143
22:50.0,65155
22:50.0,65159
22:50.0,65184
22:50.0,65184
22:50.0,65167
22:50.0,65169
22:50.0,65180
22:50.0,65180
22:50.0,65187
22:50.0,65195
22:50.0,65209
22:50.0,65194
22:50.0,65194
22:50.0,65209
22:50.0,65207
22:50.0,65222
22:50.0,65221
22:50.0,65221
22:50.0,65223
22:50.0,65229
22:50.0,65238
22:50.0,65245
22:50.0,65245
22:50.0,65245
22:50.0,65256
22:50.0,65261
22:50.0,65243
22:50.0,65243
22:50.0,65259
22:50.0,65260
22:50.0,65272
22:50.0,65271
22:50.1,65271
22:50.1,65267
22:50.1,65276
22:50.1,65285
22:50.1,65275
22:50.1,65275
22:50.1,65279
22:50.1,65290
22:50.1,65304
22:50.1,65298
22:50.1,65298
22:50.1,65299
22:50.1,65314
22:50.1,65305
22:50.1,65309
22:50.1,65309
22:50.1,65320
22:50.1,65321
22:50.1,65324
22:50.1,65324
22:50.1,65349
22:50.1,65328
22:50.1,65327
22:50.1,65333
22:50.1,65333
22:50.1,65348
22:50.1,65349
22:50.1,65348
22:50.1,65345
22:50.1,65345
22:50.1,65355
22:50.1,65359
22:50.1,65359
22:50.1,65355
22:50.1,65355
22:50.1,65361
22:50.1,65366
22:50.1,65367
22:50.1,65367
22:50.1,65367
22:50.1,65374
22:50.1,65376
22:50.1,65368
22:50.1,65369
22:50.1,65369
22:50.1,65380
22:50.1,65388
22:50.1,65384
22:50.1,65381
22:50.2,65381
22:50.2,65396
22:50.2,65393
22:50.2,65399
22:50.2,65396
22:50.2,65396
22:50.2,65401
22:50.2,65403
22:50.2,65405
22:50.2,65416
22:50.2,65416
22:50.2,65419
22:50.2,65412
22:50.2,65408
22:50.2,65420
22:50.2,65420
22:50.2,65411
22:50.2,65423
22:50.2,65416
22:50.2,65416
22:50.2,65435
22:50.2,65417
22:50.2,65432
22:50.2,65413
22:50.2,65413
22:50.2,65433
22:50.2,65429
22:50.2,65425
22:50.2,65431
22:50.2,65431
22:50.2,65431
22:50.2,65430
22:50.2,65434
22:50.2,65424
22:50.2,65424
22:50.2,65429
22:50.2,65413
22:50.2,65428
22:50.2,65437
22:50.2,65437
22:50.2,65436
22:50.2,65437
22:50.2,65434
22:50.2,65438
22:50.2,65438
22:50.2,65459
22:50.2,65442
22:50.2,65450
22:50.2,65445
22:50.2,65445
22:50.2,65456
22:50.3,65451
22:50.3,65457
22:50.3,65454
22:50.3,65454
22:50.3,65461
22:50.3,65462
22:50.3,65464
22:50.3,65461
22:50.3,65461
22:50.3,65460
22:50.3,65462
22:50.3,65469
22:50.3,65469
22:50.3,65474
22:50.3,65470
22:50.3,65453
22:50.3,65460
22:50.3,65460
22:50.3,65459
22:50.3,65460
22:50.3,65450
22:50.3,65431
22:50.3,65431
22:50.3,65431
22:50.3,65425
22:50.3,65427
22:50.3,65409
22:50.3,65409
22:50.3,65412
22:50.3,65397
22:50.3,65382
22:50.3,65384
22:50.3,65384
22:50.3,65384
22:50.3,65379
22:50.3,65358
22:50.3,65350
22:50.3,65350
22:50.3,65349
22:50.3,65336
22:50.3,65324
22:50.3,65312
22:50.3,65312
22:50.3,65317
22:50.3,65304
22:50.3,65297
22:50.3,65287
22:50.3,65287
22:50.3,65280
22:50.3,65275
22:50.4,65272
22:50.4,65257
22:50.4,65257
22:50.4,65266
22:50.4,65255
22:50.4,65247
22:50.4,65250
22:50.4,65250
22:50.4,65237
22:50.4,65222
22:50.4,65239
22:50.4,65239
22:50.4,65224
22:50.4,65225
22:50.4,65215
22:50.4,65216
22:50.4,65216
22:50.4,65218
22:50.4,65217
22:50.4,65220
22:50.4,65205
22:50.4,65205
22:50.4,65208
22:50.4,65209
22:50.4,65208
22:50.4,65207
22:50.4,65207
22:50.4,65204
22:50.4,65206
22:50.4,65201
22:50.4,65204
22:50.4,65204
22:50.4,65208
22:50.4,65214
22:50.4,65209
22:50.4,65203
22:50.4,65203
22:50.4,65218
22:50.4,65221
22:50.4,65213
22:50.4,65209
22:50.4,65209
22:50.4,65236
22:50.4,65227
22:50.4,65222
22:50.4,65223
22:50.4,65223
22:50.4,65227
22:50.4,65234
22:50.4,65231
22:50.5,65249
22:50.5,65249
22:50.5,65239
22:50.5,65251
22:50.5,65265
22:50.5,65265
22:50.5,65254
22:50.5,65252
22:50.5,65262
22:50.5,65254
22:50.5,65254
22:50.5,65279
22:50.5,65267
22:50.5,65275
22:50.5,65285
22:50.5,65285
22:50.5,65299
22:50.5,65300
22:50.5,65318
22:50.5,65291
22:50.5,65291
22:50.5,65307
22:50.5,65310
22:50.5,65311
22:50.5,65316
22:50.5,65316
22:50.5,65324
22:50.5,65317
22:50.5,65342
22:50.5,65329
22:50.5,65329
22:50.5,65340
22:50.5,65344
22:50.5,65344
22:50.5,65349
22:50.5,65349
22:50.5,65358
22:50.5,65370
22:50.5,65377
22:50.5,65369
22:50.5,65369
22:50.5,65374
22:50.5,65380
22:50.5,65374
22:50.5,65386
22:50.5,65386
22:50.5,65386
22:50.5,65393
22:50.5,65397
22:50.5,65414
22:50.6,65414
22:50.6,65418
22:50.6,65420
22:50.6,65406
22:50.6,65406
22:50.6,65423
22:50.6,65431
22:50.6,65427
22:50.6,65437
22:50.6,65437
22:50.6,65437
22:50.6,65434
22:50.6,65433
22:50.6,65430
22:50.6,65430
22:50.6,65439
22:50.6,65440
22:50.6,65448
22:50.6,65443
22:50.6,65443
22:50.6,65446
22:50.6,65454
22:50.6,65445
22:50.6,65448
22:50.6,65448
22:50.6,65454
22:50.6,65455
22:50.6,65461
22:50.6,65467
22:50.6,65467
22:50.6,65462
22:50.6,65466
22:50.6,65459
22:50.6,65459
22:50.6,65459
22:50.6,65475
22:50.6,65463
22:50.6,65474
22:50.6,65464
22:50.6,65464
22:50.6,65468
22:50.6,65467
22:50.6,65474
22:50.6,65475
22:50.6,65475
22:50.6,65469
22:50.6,65483
22:50.6,65492
22:50.6,65492
22:50.6,65480
22:50.7,65476
22:50.7,65483
22:50.7,65484
22:50.7,65484
22:50.7,65493
22:50.7,65494
22:50.7,65493
22:50.7,65485
22:50.7,65485
22:50.7,65491
22:50.7,65474
22:50.7,65497
22:50.7,65500
22:50.7,65500
22:50.7,65503
22:50.7,65498
22:50.7,65499
22:50.7,65506
22:50.7,65506
22:50.7,65512
22:50.7,65500
22:50.7,65509
22:50.7,65502
22:50.7,65502
22:50.7,65525
22:50.7,65521
22:50.7,65527
22:50.7,65517
22:50.7,65517
22:50.7,65524
22:50.7,65521
22:50.7,65525
22:50.7,65519
22:50.7,65519
22:50.7,65524
22:50.7,65533
22:50.7,65533
22:50.7,65527
22:50.7,65527
22:50.7,65538
22:50.7,65528
22:50.7,65543
22:50.7,65534
22:50.7,65534
